dataset,embedding,clf,coverage,negative_protocol,test_pos_cosine_mean,test_neg_cosine_mean,test_cosine_delta,test_pos_l2_mean,test_neg_l2_mean,test_l2_delta,auroc,auprc,random_auprc_baseline,test_positive_ratio,test_negative_to_positive_ratio,auprc_lift,auprc_gain,precision_at_k,recall_at_k,f1,specificity,delta_auprc_vs_baseline,lift_ratio_vs_baseline,delta_precision_at_k_vs_baseline,delta_recall_at_k_vs_baseline
mHSC-L_Non-Specific_500,v4_type_pe_best,mlp,442/500,full_candidate,0.1450305432081222,0.0256024412810802,0.119428101927042,1.54478657245636,1.627115249633789,0.0823286771774292,0.8333413536729146,0.2472256661443024,0.0248246087425796,0.0248246087425796,39.28260869565217,9.958894768812877,0.2224010574017228,0.3260869565217391,0.3260869565217391,0.12,0.9994465965688988,0.12121991403349178,1.962018892017643,0.15217391304347827,0.15217391304347827
mHSC-L_Non-Specific_500,scconcept,lr,442/500,full_candidate,0.0410822071135044,0.0048401542007923,0.0362420529127121,30.39439582824707,31.032127380371094,0.6377315521240234,0.7417290248069103,0.0969350043491869,0.0248246087425796,0.0248246087425796,39.28260869565217,3.904794849109638,0.0721103956066073,0.1956521739130435,0.1956521739130435,0.1647058823529411,0.9822910902047592,-0.05452076050382239,0.6400218865439964,-0.02173913043478251,-0.02173913043478251
mHSC-L_Non-Specific_500,scconcept,mlp,442/500,full_candidate,0.0410822071135044,0.0048401542007923,0.0362420529127121,30.39439582824707,31.032127380371094,0.6377315521240234,0.7493202762204952,0.0796255799236153,0.0248246087425796,0.0248246087425796,39.28260869565217,3.2075260782273727,0.0548009711810357,0.1304347826086956,0.1304347826086956,0.0,1.0,-0.04638017218719531,0.6319201987984789,-0.043478260869565216,-0.043478260869565216
mHSC-L_Non-Specific_500,scconcept_encoded,lr,442/500,full_candidate,0.2052879780530929,0.1049280166625976,0.1003599613904953,24.04754447937012,26.200279235839844,2.1527347564697266,0.7511248526262602,0.1037028924504219,0.0248246087425796,0.0248246087425796,39.28260869565217,4.177423037187648,0.0788782837078423,0.1739130434782608,0.1739130434782608,0.1686746987951807,0.9833978970669618,-0.047752872402587396,0.6847074626117239,-0.04347826086956519,-0.04347826086956519
mHSC-L_Non-Specific_500,scconcept_encoded,mlp,442/500,full_candidate,0.2052879780530929,0.1049280166625976,0.1003599613904953,24.04754447937012,26.200279235839844,2.1527347564697266,0.7157912466013812,0.0738237270043307,0.0248246087425796,0.0248246087425796,39.28260869565217,2.9738123073701037,0.0489991182617511,0.0434782608695652,0.0434782608695652,0.0,1.0,-0.052182025106479915,0.5858758490597273,-0.13043478260869562,-0.13043478260869562
mHSC-L_Non-Specific_500,cl_scratch_v5,lr,442/500,full_candidate,0.1454437971115112,0.0237579401582479,0.1216858569532632,1.5399945974349976,1.6310696601867676,0.09107506275177,0.7858689636919227,0.277888941861421,0.0248246087425796,0.0248246087425796,39.28260869565217,11.194091505852459,0.2530643331188414,0.3695652173913043,0.3695652173913043,0.3655913978494624,0.9833978970669618,0.1264331770084117,1.8347861643372736,0.15217391304347833,0.15217391304347833
mHSC-L_Non-Specific_500,cl_scratch_v5,mlp,442/500,full_candidate,0.1454437971115112,0.0237579401582479,0.1216858569532632,1.5399945974349976,1.6310696601867676,0.09107506275177,0.8422679916267655,0.2307857103390343,0.0248246087425796,0.0248246087425796,39.28260869565217,9.296650462135448,0.2059611015964547,0.2826086956521739,0.2826086956521739,0.08,0.9988931931377976,0.1047799582282237,1.8315490084617665,0.10869565217391308,0.10869565217391308
mHSC-L_Non-Specific_1000,minus,lr,898/1000,tf_stratified_1to10,0.0900762230157852,0.0136202592402696,0.0764559637755155,0.7899052500724792,0.8208333253860474,0.0309280753135681,0.7245078392078274,0.2570902615464269,0.0927272727272727,0.0927272727272727,9.784313725490197,2.772542036284997,0.1643629888191542,0.3071895424836601,0.3071895424836601,0.2702702702702703,0.9525718102872412,-0.017089066787575102,0.9376719357676834,-0.01307189542483661,-0.01307189542483661
mHSC-L_Non-Specific_1000,minus,mlp,898/1000,tf_stratified_1to10,0.0900762230157852,0.0136202592402696,0.0764559637755155,0.7899052500724792,0.8208333253860474,0.0309280753135681,0.7385708235643399,0.3607752959115183,0.0927272727272727,0.0927272727272727,9.784313725490197,3.890713975516375,0.2680480231842456,0.3594771241830065,0.3594771241830065,0.3092783505154639,0.9926519706078824,0.08423858156639102,1.3046198829905038,0.052287581699346386,0.052287581699346386
mHSC-L_Non-Specific_1000,baseline,lr,898/1000,tf_stratified_1to10,0.0836746171116828,0.0182967409491539,0.0653778761625289,0.8666595220565796,0.8918383717536926,0.025178849697113,0.7284721949345313,0.274179328334002,0.0927272727272727,0.0927272727272727,9.784313725490197,2.9568358937980617,0.1814520556067293,0.3202614379084967,0.3202614379084967,0.2635658914728682,0.9525718102872412,0.0,1.0,0.0,0.0
