dataset,context,embedding,method,fold_id,pearson_r,mse,sign_acc,n_train,n_test
dixit,dataset::all,v4_plain_best,frozen_linear,0,0.9894893169403076,0.3831609785556793,1.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,1,0.9617899656295776,0.842534065246582,1.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,2,0.9616928100585938,0.8890768885612488,1.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,3,-0.5203635692596436,0.749948263168335,0.22265625,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,4,0.8600890040397644,1.0003453493118286,0.96875,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,5,-0.9763831496238708,2.462615489959717,0.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,6,0.9295589923858644,0.2388791888952255,0.99609375,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,7,0.9728723764419556,0.7646120190620422,1.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,8,0.9495493173599244,0.7533837556838989,1.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,9,-0.9897589683532716,3.976466417312622,0.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,10,0.6451753973960876,0.8998618721961975,0.82421875,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,11,0.9888160228729248,0.0221043080091476,1.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,12,0.978317379951477,0.4649638235569,1.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,13,0.9937073588371276,0.0623880326747894,1.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,14,-0.8256468772888184,1.28231680393219,0.0546875,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,15,0.9729551672935486,0.0956107601523399,1.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,16,0.9821988344192504,0.0815498977899551,1.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,17,-0.9814563989639282,2.747673511505127,0.0,18,1
dixit,dataset::all,v4_plain_best,frozen_linear,18,0.9874440431594848,0.0263169575482606,1.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,0,0.978050947189331,0.5847773551940918,1.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,1,-0.8682308197021484,1.7092831134796145,0.02734375,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,2,0.9439269304275512,0.8431880474090576,1.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,3,-0.9860501289367676,2.078076362609864,0.00390625,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,4,0.989592432975769,0.3677529692649841,1.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,5,-0.9852370023727416,2.442577362060547,0.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,6,0.9295016527175904,0.5424249172210693,0.99609375,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,7,0.988968014717102,0.2981128096580505,1.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,8,0.9606634378433228,0.8153007626533508,1.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,9,-0.988808274269104,3.307222843170166,0.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,10,-0.9912534952163696,2.107635021209717,0.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,11,0.9865770936012268,0.148683950304985,1.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,12,0.992196559906006,0.0200441144406795,1.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,13,0.992923378944397,0.0333983488380909,1.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,14,0.9240862727165222,0.7327275276184082,0.99609375,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,15,0.9732372760772704,0.0481271967291832,1.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,16,0.9665611386299132,0.3228386640548706,1.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,17,-0.98197603225708,3.965109348297119,0.0,18,1
dixit,dataset::all,v4_type_pe_best,frozen_linear,18,0.9855526685714722,0.1303428709506988,1.0,18,1
dixit,dataset::all,scconcept,frozen_linear,0,0.8948437571525574,1.2248291969299316,0.98046875,18,1
dixit,dataset::all,scconcept,frozen_linear,1,0.9030047655105592,1.1622281074523926,0.96875,18,1
dixit,dataset::all,scconcept,frozen_linear,2,0.9821228981018066,0.6505208015441895,1.0,18,1
dixit,dataset::all,scconcept,frozen_linear,3,-0.9594748616218568,0.8578985929489136,0.0,18,1
dixit,dataset::all,scconcept,frozen_linear,4,-0.9877610802650452,1.9458718299865725,0.0,18,1
dixit,dataset::all,scconcept,frozen_linear,5,0.9248570203781128,1.1533489227294922,0.98828125,18,1
dixit,dataset::all,scconcept,frozen_linear,6,0.8906111121177673,1.15419602394104,0.9921875,18,1
dixit,dataset::all,scconcept,frozen_linear,7,0.6215271949768066,1.2976830005645752,0.8203125,18,1
dixit,dataset::all,scconcept,frozen_linear,8,0.9127864837646484,1.1624529361724854,0.984375,18,1
dixit,dataset::all,scconcept,frozen_linear,9,-0.9762864708900452,1.2967627048492432,0.0,18,1
dixit,dataset::all,scconcept,frozen_linear,10,-0.7390050888061523,1.0805491209030151,0.09765625,18,1
dixit,dataset::all,scconcept,frozen_linear,11,0.9836145639419556,0.7392088174819946,1.0,18,1
dixit,dataset::all,scconcept,frozen_linear,12,-0.4112613797187805,1.0006940364837646,0.3046875,18,1
dixit,dataset::all,scconcept,frozen_linear,13,0.98462975025177,0.6854422688484192,1.0,18,1
dixit,dataset::all,scconcept,frozen_linear,14,0.3110862970352173,0.9509007930755616,0.65625,18,1
dixit,dataset::all,scconcept,frozen_linear,15,-0.9569342732429504,1.2366341352462769,0.00390625,18,1
dixit,dataset::all,scconcept,frozen_linear,16,0.858163595199585,0.8193366527557373,0.97265625,18,1
dixit,dataset::all,scconcept,frozen_linear,17,0.9810644388198853,0.5038464665412903,1.0,18,1
dixit,dataset::all,scconcept,frozen_linear,18,0.9100764989852904,0.8709187507629395,0.984375,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,0,-0.9890760183334352,4.337704658508301,0.0,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,1,0.7796450853347778,1.0641244649887085,0.9140625,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,2,0.9876370429992676,0.0777170956134796,1.0,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,3,-0.9898067712783812,2.2878730297088623,0.0,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,4,0.9894354343414308,0.1535739600658416,0.99609375,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,5,0.9898859262466432,0.0475417114794254,1.0,18,1
