dataset,method,metric,comparator,mean_diff,median_diff,ci_lower,ci_upper,wins,losses,ties,n_folds,wilcoxon_stat,wilcoxon_p
dixit,frozen_linear,pearson_r,scconcept_encoded,0.05773104884122545,0.012589693069458008,-0.5394483236497954,0.6581571097436703,12,7,0,19,81.0,0.5948867797851562
dixit,frozen_linear,pearson_r,v4_bias_rec_best,-0.18068929889092317,-0.000768125057220348,-0.37594651038464355,-0.01151980326363916,8,11,0,19,71.0,0.3524589538574219
dixit,frozen_linear,pearson_r,v4_plain_best,0.022462958568020882,0.00010889768600486072,-0.2908801608179745,0.3408055381359238,10,9,0,19,78.0,0.5152778625488281
dixit,frozen_linear,pearson_r,v4_type_pe_best,0.13139795708028892,0.003397643566131592,-0.12832363294927698,0.4720325168810391,13,6,0,19,52.0,0.08742904663085938
dixit,frozen_linear,sign_acc,cl_scratch_v5,0.05407072368421053,0.0,-0.07134046052631579,0.2080746299342103,2,5,12,19,13.0,0.8655343251561596
dixit,frozen_linear,sign_acc,minus,0.06435032894736842,0.0,-0.11205283717105263,0.2506167763157895,3,4,12,19,13.0,0.8657723749926214
dixit,frozen_linear,sign_acc,scGPT_human,0.06743421052631579,0.0,-0.06743421052631579,0.24753803453947362,2,3,14,19,6.0,0.6858304344516057
dixit,frozen_linear,sign_acc,scconcept,0.08018092105263158,0.015625,-0.1589329769736842,0.3159950657894737,11,4,4,19,44.0,0.3631006743163896
dixit,frozen_linear,sign_acc,scconcept_encoded,0.028988486842105265,0.00390625,-0.27900904605263155,0.3369808799342103,10,6,3,19,59.5,0.6596946971226356
dixit,frozen_linear,sign_acc,v4_bias_rec_best,-0.09930098684210527,0.0,-0.2060032894736842,-0.0092465049342106,4,6,9,19,13.5,0.1533092238491398
dixit,frozen_linear,sign_acc,v4_plain_best,0.011101973684210526,0.0,-0.15213815789473684,0.1747584292763157,3,3,13,19,9.5,0.8334840043889592
dixit,frozen_linear,sign_acc,v4_type_pe_best,0.06599506578947369,0.0,-0.06722861842105263,0.24527652138157888,3,3,13,19,8.5,0.6741416549927048
norman,frozen_linear,mse,cl_scratch_v5,-0.06071677207946764,-0.05303502082824707,-0.16335010528564445,0.04191656112670916,2,3,0,5,5.0,0.625
norman,frozen_linear,mse,minus,0.18219370841979984,0.19012737274169922,0.06516175270080575,0.303692102432251,5,0,0,5,0.0,0.0625
norman,frozen_linear,mse,scGPT_human,-0.33384857177734373,-0.35619616508483887,-0.4251610994338989,-0.21065971851348878,0,5,0,5,0.0,0.0625
norman,frozen_linear,mse,scconcept,-0.43245296478271483,-0.5107802152633667,-0.5612055063247681,-0.27275400161743163,0,5,0,5,0.0,0.0625
norman,frozen_linear,mse,scconcept_encoded,0.5791399002075196,0.46540093421936035,0.3762370109558105,0.7871756553649903,5,0,0,5,0.0,0.0625
norman,frozen_linear,mse,v4_bias_rec_best,0.3970148801803589,0.47168540954589844,0.3015298843383789,0.48808627128601073,5,0,0,5,0.0,0.0625
norman,frozen_linear,mse,v4_plain_best,0.026300740242004395,-0.010828375816345215,-0.07798459529876708,0.14613559246063232,2,3,0,5,7.0,1.0
norman,frozen_linear,mse,v4_type_pe_best,0.1998322486877441,0.13426780700683594,0.015317916870117233,0.4168617725372313,4,1,0,5,2.0,0.1875
norman,frozen_linear,pearson_r,cl_scratch_v5,-0.030319654857739835,-0.0238034695386887,-0.07842165801674125,0.0207740984298288,1,4,0,5,4.0,0.4375
norman,frozen_linear,pearson_r,minus,0.05253197383135555,0.0327556208707392,-0.00493443673476576,0.13748372578993434,3,2,0,5,3.0,0.3125
norman,frozen_linear,pearson_r,scGPT_human,0.0013994484115391948,-0.022257601702585797,-0.04949840373359621,0.064687255192548,2,3,0,5,6.0,0.8125
norman,frozen_linear,pearson_r,scconcept,-0.013432643273845324,-0.015787093201652197,-0.06898662303574384,0.04212133648805319,2,3,0,5,5.0,0.625
norman,frozen_linear,pearson_r,scconcept_encoded,0.07389475204050532,0.020215815771371104,-0.019301861841231657,0.17313930710777628,4,1,0,5,3.0,0.3125
norman,frozen_linear,pearson_r,v4_bias_rec_best,0.04354575159028169,0.06743199080228811,-0.04426299789920452,0.11472717616707084,4,1,0,5,4.0,0.4375
norman,frozen_linear,pearson_r,v4_plain_best,0.017171179247088716,-0.003034140821546294,-0.03297373277135194,0.06794299578759819,2,3,0,5,6.0,0.8125
norman,frozen_linear,pearson_r,v4_type_pe_best,0.05949508835561568,0.0677827830426394,-0.010841112211346631,0.12983128892257798,3,2,0,5,3.0,0.3125
norman,frozen_linear,sign_acc,cl_scratch_v5,-0.012890625000000011,-0.014843750000000044,-0.03199218750000001,0.007500000000000007,2,3,0,5,4.0,0.4375
norman,frozen_linear,sign_acc,minus,0.015703125000000005,0.006054687500000044,-0.015976562500000013,0.0582421875,4,1,0,5,4.0,0.4375
norman,frozen_linear,sign_acc,scGPT_human,-0.0038281250000000043,-0.0078125,-0.03257812500000001,0.02425781250000001,2,3,0,5,6.0,0.8125
norman,frozen_linear,sign_acc,scconcept,-0.011796875000000017,-0.0029296875,-0.03667968750000004,0.0130859375,2,3,0,5,5.0,0.625
norman,frozen_linear,sign_acc,scconcept_encoded,0.017031250000000008,0.007617187500000067,-0.022695312499999988,0.056757812500000004,3,2,0,5,5.0,0.625
norman,frozen_linear,sign_acc,v4_bias_rec_best,0.010468750000000004,0.0234375,-0.02511718749999998,0.04078124999999999,3,2,0,5,6.0,0.8125
norman,frozen_linear,sign_acc,v4_plain_best,0.005195312499999993,0.004296874999999978,-0.01304687499999999,0.022890624999999977,3,2,0,5,6.0,0.8125
norman,frozen_linear,sign_acc,v4_type_pe_best,0.02156250000000002,0.03652343750000003,-0.008398437499999967,0.051523437500000005,3,2,0,5,3.0,0.3125
