task,source_file,setting,embedding,baseline,primary_metric,secondary_metric,primary_value,primary_baseline,primary_delta,secondary_value,secondary_baseline,secondary_delta,failure_type
transfer_v2,results/transfer_v2/embedding_transfer_seed_results_v2.csv,train_dataset=mESC;test_dataset=mHSC-L;direction=mESC->mHSC-L;protocol=topology_matched;clf=mlp;seed=2;n_common_genes=2942;retained_fraction=0.6178076438471231;n_train_edges=245;n_test_edges=47;oov_train_count=2941;oov_test_count=284;oov_train_rate=0.9996600951733514;oov_test_rate=0.0965329707681849;oov_policy=mean_embedding,minus,baseline,auroc,auprc,0.429825,0.429412,0.0004129999999999967,0.193763,0.348938,-0.15517500000000004,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-GM;test_dataset=mDC;protocol=coverage_matched;clf=mlp;n=5,v4_plain_best,baseline,mean_auroc,mean_auprc,0.392163,0.2994886,0.09267439999999999,0.389669,0.5419316,-0.15226259999999997,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-E;test_dataset=hHep;protocol=coverage_matched;clf=mlp;n=5,cl_scratch_v5,baseline,mean_auroc,mean_auprc,0.799603,0.6842050000000001,0.11539799999999989,0.6518134,0.8025052,-0.15069180000000004,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-L;protocol=topology_matched;clf=mlp;n=5,scconcept_encoded,baseline,mean_auroc,mean_auprc,0.5948902,0.5922566,0.0026336000000000137,0.337201,0.4835358,-0.14633480000000004,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-GM;test_dataset=mDC;protocol=coverage_matched;clf=mlp;n=5,cl_v6_fair,baseline,mean_auroc,mean_auprc,0.455685,0.2994886,0.1561964,0.3963098,0.5419316,-0.14562179999999997,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hESC;test_dataset=mDC;protocol=coverage_matched;clf=lr;n=5,cl_v6_fair,baseline,mean_auroc,mean_auprc,0.4677666,0.4676224,0.00014419999999998323,0.4338394,0.5765814,-0.14274200000000004,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_seed_results_v2.csv,train_dataset=hHep;test_dataset=mHSC-GM;direction=hHep->mHSC-GM;protocol=strict;clf=lr;seed=2;n_common_genes=2794;retained_fraction=0.5867282654346913;n_train_edges=653;n_test_edges=323;oov_train_count=45;oov_test_count=46;oov_train_rate=0.0161059413027916;oov_test_rate=0.0164638511095204;oov_policy=mean_embedding,scconcept_encoded,baseline,auroc,auprc,0.715325,0.708587,0.006738000000000022,0.329804,0.458485,-0.128681,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-GM;protocol=topology_matched;clf=mlp;n=5,scconcept_encoded,baseline,mean_auroc,mean_auprc,0.6771074,0.625702,0.051405400000000046,0.3046116,0.43189299999999997,-0.1272814,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-E;protocol=coverage_matched;clf=lr;n=5,cl_v6_fair,baseline,mean_auroc,mean_auprc,0.7828218,0.7354102,0.0474116,0.6575948,0.7848421999999999,-0.1272473999999999,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mDC;test_dataset=mHSC-L;protocol=coverage_matched;clf=lr;n=5,scconcept_encoded,baseline,mean_auroc,mean_auprc,0.4566792,0.4186412,0.038038000000000016,0.43659200000000004,0.5635756,-0.12698359999999992,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-GM;protocol=topology_matched;clf=mlp;n=5,v4_plain_best,baseline,mean_auroc,mean_auprc,0.6634674,0.625702,0.03776540000000006,0.3053748,0.43189299999999997,-0.12651819999999997,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hESC;test_dataset=mHSC-E;protocol=coverage_matched;clf=mlp;n=5,v4_bias_rec_best,baseline,mean_auroc,mean_auprc,0.5213442,0.46634939999999997,0.054994800000000066,0.3770194,0.5020496,-0.12503019999999998,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mDC;test_dataset=hESC;protocol=coverage_matched;clf=lr;n=5,scconcept,baseline,mean_auroc,mean_auprc,0.479487,0.4069552,0.07253179999999998,0.35779299999999997,0.481585,-0.12379200000000001,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hESC;test_dataset=mDC;protocol=coverage_matched;clf=lr;n=5,v4_bias_rec_best,baseline,mean_auroc,mean_auprc,0.5250648,0.4676224,0.057442400000000005,0.4530098,0.5765814,-0.1235716,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mESC;protocol=coverage_matched;clf=mlp;n=5,scGPT_human,baseline,mean_auroc,mean_auprc,0.518496,0.482281,0.03621499999999994,0.4369378,0.5566588,-0.11972100000000002,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hESC;test_dataset=mHSC-E;protocol=coverage_matched;clf=lr;n=5,v4_bias_rec_best,baseline,mean_auroc,mean_auprc,0.5634254,0.4851966,0.07822879999999999,0.4284394,0.5452484,-0.11680899999999994,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_seed_results_v2.csv,train_dataset=mESC;test_dataset=mHSC-L;direction=mESC->mHSC-L;protocol=topology_matched;clf=mlp;seed=1;n_common_genes=2942;retained_fraction=0.6178076438471231;n_train_edges=245;n_test_edges=47;oov_train_count=2941;oov_test_count=284;oov_train_rate=0.9996600951733514;oov_test_rate=0.0965329707681849;oov_policy=mean_embedding,minus,baseline,auroc,auprc,0.619883,0.366667,0.25321599999999994,0.248513,0.364618,-0.11610499999999999,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hESC;test_dataset=mDC;protocol=coverage_matched;clf=lr;n=5,scGPT_human,baseline,mean_auroc,mean_auprc,0.4888014,0.4676224,0.021179000000000003,0.4607464,0.5765814,-0.11583500000000002,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-E;test_dataset=hHep;protocol=coverage_matched;clf=lr;n=5,scconcept,baseline,mean_auroc,mean_auprc,0.698234,0.632992,0.06524200000000002,0.6396858,0.7532478,-0.11356200000000005,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-GM;test_dataset=mDC;protocol=coverage_matched;clf=lr;n=5,scGPT_human,baseline,mean_auroc,mean_auprc,0.3955064,0.3086194,0.08688699999999999,0.4452938,0.5587156,-0.11342179999999996,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-E;protocol=coverage_matched;clf=lr;n=5,minus,baseline,mean_auroc,mean_auprc,0.7408234,0.7354102,0.005413200000000007,0.672626,0.7848421999999999,-0.11221619999999999,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-E;test_dataset=mDC;protocol=coverage_matched;clf=lr;n=5,v4_plain_best,baseline,mean_auroc,mean_auprc,0.5412766,0.4936012,0.04767539999999998,0.4807306,0.5893322,-0.10860159999999996,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-E;protocol=coverage_matched;clf=mlp;n=5,minus,baseline,mean_auroc,mean_auprc,0.7309706,0.712403,0.018567600000000017,0.6637064,0.7717456,-0.1080392,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mESC;test_dataset=mHSC-E;protocol=coverage_matched;clf=mlp;n=5,v4_type_pe_best,baseline,mean_auroc,mean_auprc,0.5735254,0.565551,0.007974399999999937,0.4858,0.5913194,-0.10551940000000004,AUROC improves but AUPRC drops
