train_dataset,test_dataset,clf,metric,embedding,native,coverage_matched,strict,topology_matched,delta_topology_minus_native,delta_strict_minus_coverage,rank_native,rank_coverage_matched,rank_strict,rank_topology_matched,rank_change_native_to_topology,native_wins_topology_loses,coverage_improves_strict_collapses,protocol_sensitivity_score,source_file
mDC,hHep,mlp,auprc,v4_type_pe_best,0.4593268,0.4789488,0.604983,0.5647136,0.10538680000000006,0.12603420000000004,9,8,2,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mESC,mlp,auprc,baseline,0.5119208,0.4739192,0.8961708,0.89472325,0.38280245,0.42225160000000006,9,5,4,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-E,lr,auprc,cl_v6_fair,0.6196722,0.5764308,0.4397468,0.41780639999999997,-0.20186580000000004,-0.13668400000000003,1,2,5,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-E,lr,auprc,v4_bias_rec_best,0.4386228,0.5335342,0.452229,0.5165436,0.07792080000000001,-0.08130519999999997,9,4,3,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-E,mlp,auprc,v4_type_pe_best,0.499628,0.4239926,0.4461092,0.4228116,-0.0768164,0.022116599999999986,3,9,7,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-GM,lr,auprc,cl_v6_fair,0.5206916,0.49647579999999997,0.3217914,0.3139504,-0.2067412,-0.17468439999999996,2,5,8,8,6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-GM,mlp,auprc,scconcept_encoded,0.5247798,0.6315508,0.4114198,0.3520456,-0.1727342,-0.22013099999999997,2,2,4,8,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-E,mlp,auprc,cl_scratch_v5,0.500492,0.4800594,0.4751434,0.4034182,-0.09707380000000004,-0.0049160000000000315,3,7,7,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-L,mlp,auprc,minus,0.5117476,0.4538016,0.31316879999999997,0.2322338,-0.2795138,-0.14063280000000006,4,9,10,10,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hESC,mlp,auprc,cl_v6_fair,0.5852576,0.7898056,0.35880839999999997,0.3667474,-0.21851020000000004,-0.4309972,8,1,2,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hESC,mlp,auprc,v4_plain_best,0.6365512,0.6062868,0.3475118,0.30483,-0.3317212,-0.25877500000000003,3,7,4,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,mDC,lr,auprc,minus,0.4798926,0.6357430000000001,0.5043482,0.5746298,0.09473719999999997,-0.13139480000000003,9,2,8,3,-6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,mDC,lr,auprc,v4_plain_best,0.6410058,0.4807306,0.6005284,0.5083436,-0.13266219999999995,0.11979779999999995,2,7,6,8,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hHep,lr,auprc,scGPT_human,0.7586682,0.7895752,0.755548,0.7120380000000001,-0.046630199999999955,-0.034027200000000035,1,4,7,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,lr,auprc,cl_scratch_v5,0.5117382,0.7648726,0.562094,0.6035082,0.09177000000000002,-0.20277860000000003,9,2,6,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,mlp,auprc,v4_type_pe_best,0.5488986,0.531882,0.5982058,0.619768,0.07086939999999997,0.06632380000000004,8,5,5,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,hESC,mlp,auprc,scconcept_encoded,0.527253,0.7486274,0.4551828,0.5241926,-0.003060399999999963,-0.29344460000000006,10,3,7,4,-6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,lr,auprc,v4_bias_rec_best,0.5300022,0.612889,0.5050536,0.5521322,0.022129999999999983,-0.10783540000000003,8,4,7,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mDC,mlp,auroc,baseline,0.5173058,0.4577372,0.3930192,0.2797598,-0.23754600000000003,-0.064718,3,5,4,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mESC,mlp,auroc,scconcept_encoded,0.495549,0.485294,0.5047494,0.5094988,0.013949800000000012,0.01945540000000001,10,10,7,4,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mESC,mlp,auroc,v4_plain_best,0.498382,0.4967558,0.505409,0.5113456000000001,0.012963600000000075,0.008653199999999972,8,7,6,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-E,lr,auroc,v4_type_pe_best,0.5660532,0.6726466,0.5150394,0.4274276,-0.13862560000000002,-0.15760719999999995,2,1,7,8,6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-L,mlp,auroc,baseline,0.6349384,0.6378994,0.6070076,0.7025092,0.06757079999999993,-0.030891800000000025,7,4,6,1,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,hESC,mlp,auroc,baseline,0.7141982,0.7589144,0.68972,0.6741064,-0.04009180000000001,-0.06919439999999999,1,1,4,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mDC,mlp,auroc,v4_bias_rec_best,0.6110632,0.700657,0.6890438,0.6892623999999999,0.07819919999999991,-0.01161319999999999,1,1,7,7,6,True,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mESC,lr,auroc,scGPT_human,0.496994,,0.4944904,0.4917356,-0.005258399999999996,,3,,5,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-E,lr,auroc,scGPT_human,0.6870788,0.6358668,0.8064234,0.7805554,0.09347660000000002,0.17055660000000006,1,8,5,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,lr,auroc,cl_v6_fair,0.7176992,0.695936,0.6981516,0.5992502,-0.11844900000000003,0.0022155999999999842,1,6,2,7,6,True,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,lr,auroc,scGPT_human,0.6964798,0.725256,0.55164,0.5329204,-0.16355940000000002,-0.173616,3,2,9,9,6,False,True,7,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,lr,auroc,scconcept_encoded,0.544705,0.5363354,0.6976862,0.7239576,0.17925259999999998,0.16135080000000002,9,9,3,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,lr,auroc,v4_type_pe_best,0.7102852000000001,0.7190416000000001,0.6843768,0.556732,-0.15355320000000006,-0.03466480000000005,2,4,5,8,6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,mlp,auroc,minus,0.7328028,0.6615875999999999,0.6505784,0.7270066000000001,-0.005796199999999918,-0.011009199999999941,8,7,8,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hESC,lr,auroc,baseline,0.4196278,0.4069552,0.5481784000000001,0.5108108,0.09118300000000001,0.14122320000000005,7,8,1,1,-6,False,False,7,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,lr,auroc,minus,0.5443096000000001,0.4586574,0.6109488,0.6576356,0.11332599999999993,0.15229139999999997,1,6,8,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,lr,auroc,scconcept,0.5208444,0.5030978,0.6481176,0.634804,0.11395960000000005,0.14501979999999992,2,2,7,8,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,mlp,auroc,v4_type_pe_best,0.416342,0.4752738,0.7608884,0.733509,0.317167,0.2856146,9,7,2,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-E,lr,auroc,scGPT_human,0.427602,0.5937856,0.6310752,0.6451382,0.2175362,0.03728959999999992,7,1,1,1,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-GM,lr,auroc,scconcept_encoded,0.5234326,0.5075803999999999,0.479227,0.4289414,-0.09449120000000005,-0.028353399999999918,2,3,3,8,6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-L,lr,auroc,baseline,0.48330839999999997,0.4186412,0.457374,0.3797686,-0.10353979999999996,0.03873280000000001,4,7,6,10,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-L,mlp,auroc,cl_v6_fair,0.4170242,0.4835204,0.4996932,0.5920402,0.175016,0.016172799999999987,7,4,3,1,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-L,mlp,auroc,scconcept_encoded,0.516252,0.46670300000000003,0.524851,0.4707584,-0.04549360000000002,0.05814799999999992,1,5,1,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,hHep,mlp,auroc,baseline,0.4739884,0.6198836,0.502967,0.502941,0.028952599999999995,-0.11691659999999993,9,1,1,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,hHep,lr,auroc,minus,0.4301322,0.4474286,0.4947808,0.5144938,0.08436159999999998,0.04735220000000001,10,5,4,4,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-E,mlp,auroc,v4_bias_rec_best,0.49019019999999996,0.5487196,0.4980162,0.5860512,0.09586100000000003,-0.050703399999999954,9,3,5,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-L,mlp,auroc,v4_plain_best,0.4931514,0.5044105999999999,0.5275004,0.519649,0.02649760000000001,0.02308980000000005,9,4,1,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hESC,lr,auroc,cl_v6_fair,0.5715542,0.8076924,0.4564372,0.5710124,-0.0005418000000000367,-0.3512552,7,1,5,1,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hESC,mlp,auroc,v4_plain_best,0.6404316,0.6176842,0.4619432,0.3775708,-0.2628608,-0.15574100000000002,3,5,3,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hHep,lr,auroc,cl_scratch_v5,0.7672764,0.7515634,0.9274006,0.8967423999999999,0.12946599999999997,0.17583720000000003,1,4,2,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hHep,lr,auroc,v4_type_pe_best,0.677236,0.6971430000000001,0.8882372,0.913443,0.23620700000000006,0.19109419999999988,8,7,6,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hESC,mlp,auroc,v4_plain_best,0.7495984,0.5275837999999999,0.5858302,0.5723886,-0.17720979999999997,0.05824640000000003,1,10,5,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hHep,mlp,auroc,scGPT_human,0.8216285999999999,0.8625252,0.7134428,0.6902604,-0.13136819999999994,-0.14908239999999995,1,1,7,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,lr,auroc,cl_scratch_v5,0.4562066,0.7164216,0.5371574,0.634399,0.17819240000000003,-0.17926419999999998,9,1,7,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,lr,auroc,cl_v6_fair,0.5742504,0.4123324,0.5932468,0.528693,-0.04555740000000008,0.18091439999999998,2,8,2,8,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,lr,auroc,v4_plain_best,0.5705632,0.462461,0.5652478,0.5193642,-0.051198999999999995,0.10278679999999996,3,3,5,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,hESC,lr,auroc,v4_bias_rec_best,0.6165117999999999,0.632619,0.5020242,0.5480972000000001,-0.06841459999999988,-0.1305948,2,3,9,8,6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,lr,auroc,v4_bias_rec_best,0.4953498,0.4876742,0.524662,0.6032881999999999,0.10793839999999993,0.03698779999999996,8,8,7,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mHSC-E,lr,auroc,v4_plain_best,0.5387888,0.5387888,0.5387888,0.4536316,-0.08515719999999993,0.0,4,4,4,10,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mDC,lr,balanced_accuracy,baseline,0.5436798,0.4783168,0.4732366,0.3959666,-0.14771320000000004,-0.005080199999999979,2,6,5,8,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mDC,mlp,balanced_accuracy,baseline,0.510634,0.4711366,0.455866,0.3759666,-0.13466740000000005,-0.015270600000000023,3,5,4,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mDC,mlp,balanced_accuracy,cl_v6_fair,0.5400168,0.4336096,0.423875,0.393855,-0.14616179999999995,-0.009734599999999982,2,7,9,8,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-E,lr,balanced_accuracy,v4_type_pe_best,0.5425008,0.6207876,0.5041966,0.4490486,-0.09345219999999999,-0.116591,4,1,8,10,6,False,True,7,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-GM,mlp,balanced_accuracy,scconcept_encoded,0.559123,0.544707,0.6030628,0.6367044,0.07758139999999991,0.05835579999999996,9,6,6,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-L,lr,balanced_accuracy,cl_v6_fair,0.5977074,0.5893998,0.553305,0.5289216,-0.06878580000000001,-0.03609479999999998,1,5,4,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-L,lr,balanced_accuracy,scconcept_encoded,0.526191,0.465291,0.5275264,0.5973958,0.07120480000000007,0.06223539999999994,9,10,9,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-L,lr,balanced_accuracy,v4_plain_best,0.5446728,0.5814484,0.5652222,0.5991412,0.05446840000000008,-0.01622619999999997,8,6,2,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-L,mlp,balanced_accuracy,baseline,0.5754906,0.5957008,0.5643214,0.6262724000000001,0.0507818000000001,-0.03137940000000006,7,1,4,1,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-L,mlp,balanced_accuracy,scconcept_encoded,0.5331548,0.4695878,0.5206082,0.6031252,0.06997039999999999,0.051020399999999966,9,10,9,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-E,mlp,balanced_accuracy,cl_scratch_v5,0.611473,0.5483604,0.7252938,0.748112,0.13663899999999995,0.17693340000000002,8,8,5,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,lr,balanced_accuracy,v4_type_pe_best,0.6149746,0.6405609999999999,0.5713654,0.5149018,-0.10007280000000007,-0.06919559999999991,1,1,4,7,6,True,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,mlp,balanced_accuracy,v4_plain_best,0.6066416,0.5244138,0.529559,0.5075852,-0.09905640000000004,0.005145199999999961,4,7,8,10,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-L,mlp,balanced_accuracy,v4_bias_rec_best,0.5650472,0.5728913999999999,0.5076272000000001,0.503125,-0.06192219999999993,-0.06526419999999988,1,1,3,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hESC,lr,balanced_accuracy,baseline,0.4214444,0.441282,0.5186252,0.5220328000000001,0.10058840000000008,0.0773432,8,4,2,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,lr,balanced_accuracy,baseline,0.5003292,0.508853,0.5143826,0.5143826,0.014053399999999994,0.005529600000000023,3,2,8,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,lr,balanced_accuracy,cl_scratch_v5,0.4553098,0.4984582,0.548253,0.5574698,0.10216000000000003,0.04979479999999997,7,4,2,1,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,lr,balanced_accuracy,minus,0.5214032,0.4678058,0.5348646,0.5264308,0.005027600000000021,0.06705880000000003,1,7,5,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,mlp,balanced_accuracy,v4_type_pe_best,0.4654042,0.4441288,0.592244,0.580979,0.11557480000000003,0.1481152,9,9,2,3,-6,False,False,7,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-E,lr,balanced_accuracy,v4_plain_best,0.4119302,0.4396484,0.5280452,0.5436124,0.13168219999999997,0.0883968,10,10,4,4,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-E,mlp,balanced_accuracy,v4_type_pe_best,0.49329100000000004,0.452276,0.5236332,0.5054442,0.012153199999999975,0.07135720000000001,3,9,9,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-GM,mlp,balanced_accuracy,cl_v6_fair,0.4588926,0.4738768,0.5195628,0.5565036,0.097611,0.045686000000000004,9,10,4,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-L,mlp,balanced_accuracy,baseline,0.4757502,0.5213662,0.4811596,0.4454592,-0.030291000000000012,-0.04020659999999998,4,1,9,10,6,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,hHep,mlp,balanced_accuracy,baseline,0.4743188,0.5,0.502967,0.502941,0.028622199999999987,0.002967000000000053,9,4,1,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mDC,mlp,balanced_accuracy,v4_type_pe_best,0.4914668,0.48219,0.5067136,0.4941748,0.0027080000000000437,0.02452359999999998,9,6,1,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-E,mlp,balanced_accuracy,v4_plain_best,0.4919552,0.4816128,0.5124536,0.5386218,0.04666660000000006,0.030840799999999946,7,9,1,1,-6,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hESC,lr,balanced_accuracy,cl_v6_fair,0.5656804,0.7365384,0.45967600000000003,0.542672,-0.02300839999999993,-0.2768624,7,1,6,1,-6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hESC,mlp,balanced_accuracy,cl_v6_fair,0.5775204,0.7269228,0.4663966,0.48736840000000003,-0.09015200000000001,-0.2605262,8,1,4,2,-6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hESC,mlp,balanced_accuracy,v4_bias_rec_best,0.627054,0.5700104,0.4736436,0.45518220000000004,-0.17187179999999996,-0.09636680000000003,1,6,3,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hESC,mlp,balanced_accuracy,v4_plain_best,0.613073,0.5385262,0.4883806,0.4165588,-0.19651419999999997,-0.05014559999999996,3,8,2,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hHep,mlp,balanced_accuracy,cl_v6_fair,0.7233423999999999,0.7068964,0.8766972,0.7688272,0.0454848000000001,0.16980079999999997,2,2,1,8,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,mDC,lr,balanced_accuracy,scGPT_human,0.4841228,0.4153288,0.6155402,0.5914994,0.10737659999999999,0.20021139999999998,7,9,2,1,-6,False,False,7,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hESC,mlp,balanced_accuracy,baseline,0.6830204,0.683142,0.5790687999999999,0.5379354,-0.14508500000000002,-0.10407320000000009,1,1,3,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hHep,lr,balanced_accuracy,cl_scratch_v5,0.5890656,0.5902098,0.722994,0.6575618,0.06849620000000001,0.13278420000000002,8,9,3,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hHep,mlp,balanced_accuracy,v4_plain_best,0.6458010000000001,0.6872780000000001,0.5469136,0.5412036,-0.10459740000000006,-0.14036440000000006,8,4,6,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,lr,balanced_accuracy,cl_v6_fair,0.5329062,0.4563264,0.54849,0.5011816,-0.03172459999999999,0.09216360000000001,4,6,2,10,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,mlp,balanced_accuracy,v4_plain_best,0.562848,0.4210814,0.5746742,0.5463952,-0.016452800000000045,0.15359280000000003,1,9,2,7,6,True,False,7,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,mlp,balanced_accuracy,v4_type_pe_best,0.4972476,0.4433332,0.5281148,0.584769,0.08752139999999997,0.08478160000000001,7,8,7,1,-6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mESC,mlp,balanced_accuracy,scGPT_human,0.4977744,0.5,,0.5,0.0022255999999999942,,9,3,,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,hESC,lr,balanced_accuracy,cl_v6_fair,0.5337214,0.6155556,0.5700404,0.5729554,0.03923399999999999,-0.04551519999999998,9,2,5,3,-6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,mlp,balanced_accuracy,scconcept,0.507726,0.5121428,0.5212092,0.492924,-0.014802000000000037,0.00906640000000003,4,5,10,10,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mDC,lr,f1,cl_scratch_v5,0.4597246,0.5612212,0.0599504,0.0433874,-0.41633719999999996,-0.5012708,3,2,9,9,6,False,True,7,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mDC,lr,f1,cl_v6_fair,0.571414,0.3773188,0.1118412,0.1135606,-0.45785339999999997,-0.2654776,1,9,8,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mDC,mlp,f1,cl_v6_fair,0.553513,0.2959544,0.0743696,0.0784184,-0.47509460000000003,-0.22158480000000003,1,7,8,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-E,lr,f1,minus,0.481382,0.6141616,0.2647842,0.2178718,-0.26351019999999997,-0.34937739999999995,1,2,7,7,6,True,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-E,lr,f1,v4_bias_rec_best,0.360005,0.3762422,0.3338932,0.4015972,0.04159219999999997,-0.042349000000000026,9,8,1,3,-6,False,False,7,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-E,lr,f1,v4_type_pe_best,0.424661,0.704661,0.2795218,0.1936964,-0.23096460000000002,-0.4251392,3,1,6,9,6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-GM,lr,f1,minus,0.5880491999999999,0.45321,0.4138064,0.4223418,-0.16570739999999995,-0.03940359999999998,3,9,9,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-GM,lr,f1,scGPT_human,0.5198012,0.284443,0.4349824,0.5784142,0.058613000000000026,0.1505394,7,10,8,1,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-L,lr,f1,minus,0.5144088,0.6397246,0.3993076,0.3519368,-0.162472,-0.240417,3,2,7,9,6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-L,mlp,f1,baseline,0.5122644000000001,0.5895766,0.4205082,0.5264176,0.014153199999999977,-0.1690684,7,2,5,1,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-L,mlp,f1,scconcept_encoded,0.4750206,0.1777476,0.3800294,0.4950076,0.019986999999999977,0.2022818,9,9,8,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mDC,lr,f1,cl_scratch_v5,0.2629782,0.5310779999999999,0.259752,0.270573,0.007594800000000013,-0.27132599999999996,9,4,4,3,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mDC,lr,f1,v4_bias_rec_best,0.49082380000000003,0.5719802,0.226869,0.227072,-0.26375180000000004,-0.34511120000000006,1,2,7,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-E,mlp,f1,v4_bias_rec_best,0.4969952,0.2612396,0.5817692,0.5700754,0.07308019999999998,0.32052959999999997,2,9,8,8,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,lr,f1,scconcept_encoded,0.410897,0.19610560000000002,0.3577438,0.355743,-0.055154000000000036,0.16163819999999998,7,7,1,1,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,mlp,f1,scconcept,0.3723052,0.13898080000000002,0.221274,0.2541698,-0.1181354,0.08229319999999998,8,8,4,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-L,lr,f1,minus,0.3966728,0.5903414,0.029023,0.060322600000000004,-0.3363502,-0.5613184,2,3,9,8,6,False,True,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-L,lr,f1,scconcept_encoded,0.3304614,0.6183096,0.2667802,0.2742484,-0.05621300000000001,-0.3515294,7,1,1,1,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-L,mlp,f1,minus,0.310745,0.227122,0.0164788,0.02591,-0.284835,-0.2106432,3,8,10,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hESC,mlp,f1,scGPT_human,0.1089418,0.014230999999999999,0.36212300000000003,0.3747298,0.265788,0.34789200000000003,8,10,2,2,-6,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hESC,mlp,f1,scconcept_encoded,0.3160658,0.3305592,0.364934,0.2974848,-0.018581000000000014,0.03437479999999998,1,1,1,7,6,True,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,lr,f1,scconcept,0.4219192,0.3918714,0.491033,0.4879308,0.0660116,0.09916160000000002,3,4,9,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,lr,f1,v4_type_pe_best,0.2558278,0.3589676,0.5112958,0.508644,0.2528162,0.15232819999999997,10,5,4,4,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mESC,mlp,f1,v4_bias_rec_best,0.0,0.0,0.236111,0.472222,0.472222,0.236111,8,7,7,2,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-E,lr,f1,v4_bias_rec_best,0.2505228,0.3233,0.3787432,0.4204336,0.16991080000000003,0.055443200000000026,10,5,7,4,-6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-L,lr,f1,baseline,0.4199544,0.2318796,0.3033464,0.218393,-0.2015614,0.07146680000000002,3,6,8,9,6,False,False,6,results/transfer_v2/embedding_transfer_summary_v2.csv
