dataset,negative_protocol,embedding,clf,test_positive_ratio,test_n_positive,test_negative_to_positive_ratio,auprc,random_auprc_baseline,auprc_lift_over_random,flags,source_file
mHSC-GM_STRING_1000,full_candidate,minus,lr,0.0098091399893544,129.0,100.94573643410853,0.3430287073708551,0.0098091399893544,34.97031419096221,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,minus,mlp,0.0098091399893544,129.0,100.94573643410853,0.3798452129818996,0.0098091399893544,38.72359996841064,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,baseline,lr,0.0098091399893544,129.0,100.94573643410853,0.3300590491082745,0.0098091399893544,33.648112828084706,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,baseline,mlp,0.0098091399893544,129.0,100.94573643410853,0.3881014700120673,0.0098091399893544,39.565290171540376,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,scGPT_human,lr,0.0098091399893544,129.0,100.94573643410853,0.3205830542622098,0.0098091399893544,32.68207555505683,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,scGPT_human,mlp,0.0098091399893544,129.0,100.94573643410853,0.448048942982176,0.0098091399893544,45.67667945084194,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,v4_bias_rec_best,lr,0.0098091399893544,129.0,100.94573643410853,0.284335748903621,0.0098091399893544,28.986817316523474,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,v4_bias_rec_best,mlp,0.0098091399893544,129.0,100.94573643410853,0.3481027058204879,0.0098091399893544,35.48758669957555,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,v4_plain_best,lr,0.0098091399893544,129.0,100.94573643410853,0.3432712768959499,0.0098091399893544,34.99504311983447,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,v4_plain_best,mlp,0.0098091399893544,129.0,100.94573643410853,0.4311470353867114,0.0098091399893544,43.95360203388104,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,v4_type_pe_best,lr,0.0098091399893544,129.0,100.94573643410853,0.3585521539433394,0.0098091399893544,36.55286338378966,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,v4_type_pe_best,mlp,0.0098091399893544,129.0,100.94573643410853,0.4013829312709112,0.0098091399893544,40.9192785204943,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,scconcept,lr,0.0098091399893544,129.0,100.94573643410853,0.0650722098767379,0.0098091399893544,6.63383435727893,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,scconcept,mlp,0.0098091399893544,129.0,100.94573643410853,0.1284718048063213,0.0098091399893544,13.097152751999499,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,scconcept_encoded,lr,0.0098091399893544,129.0,100.94573643410853,0.0578002224360291,0.0098091399893544,5.892486242296282,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,scconcept_encoded,mlp,0.0098091399893544,129.0,100.94573643410853,0.0594390036399437,0.0098091399893544,6.059552998983731,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
