dataset,adata_path,embedding,embedding_path,gene_list_path,pooling,correction_method,seed,batch_key,label_key,n_cells,n_genes_original,n_genes_overlap,n_hvg,n_batches,n_labels,NMI_label,ARI_label,ASW_label,AvgBIO,ASW_batch,GraphConn,AvgBATCH,Overall,batch_predictability_accuracy,label_predictability_accuracy,status,error_message
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,harmony_optional,1,batch,celltype,11990,3346,3256,2000,2,9,,,,,,,,,,,SKIPPED,harmonypy unavailable
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,harmony_optional,2,batch,celltype,11990,3346,3256,2000,2,9,,,,,,,,,,,SKIPPED,harmonypy unavailable
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,harmony_optional,3,batch,celltype,11990,3346,3256,2000,2,9,,,,,,,,,,,SKIPPED,harmonypy unavailable
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,harmony_optional,4,batch,celltype,11990,3346,3256,2000,2,9,,,,,,,,,,,SKIPPED,harmonypy unavailable
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,scGPT_human,/bigdata2/hyt/projects/scbenchmark/save_pretrain/scGPT_human/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,none,0,batch,celltype,11990,3346,3256,2000,2,9,0.5979153063576549,0.4388651536542496,0.2344921976327896,0.42375755254823133,0.998625700478442,0.935093353594831,0.9668595270366365,0.6409983423435934,0.6697247706422018,0.8418126216291354,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,scGPT_human,/bigdata2/hyt/projects/scbenchmark/save_pretrain/scGPT_human/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,none,1,batch,celltype,11990,3346,3256,2000,2,9,0.5982093973429956,0.4400718264273446,0.2344921976327896,0.4242578071343766,0.998625700478442,0.935093353594831,0.9668595270366365,0.6412984950952805,0.6697247706422018,0.8373644703919934,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,scGPT_human,/bigdata2/hyt/projects/scbenchmark/save_pretrain/scGPT_human/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,none,2,batch,celltype,11990,3346,3256,2000,2,9,0.5986282757057237,0.4396873149275274,0.2344921976327896,0.4242692627553469,0.998625700478442,0.935093353594831,0.9668595270366365,0.6413053684678627,0.6697247706422018,0.8395885460105643,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,scGPT_human,/bigdata2/hyt/projects/scbenchmark/save_pretrain/scGPT_human/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,none,3,batch,celltype,11990,3346,3256,2000,2,9,0.5988721247536241,0.4398010409844854,0.2344921976327896,0.4243884544569663,0.998625700478442,0.935093353594831,0.9668595270366365,0.6413768834888344,0.6697247706422018,0.8398665554628857,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,scGPT_human,/bigdata2/hyt/projects/scbenchmark/save_pretrain/scGPT_human/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,none,4,batch,celltype,11990,3346,3256,2000,2,9,0.5972521343831598,0.4368729865733376,0.2344921976327896,0.42287243952976233,0.998625700478442,0.935093353594831,0.9668595270366365,0.640467274532512,0.6697247706422018,0.8298582151793161,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,scGPT_human,/bigdata2/hyt/projects/scbenchmark/save_pretrain/scGPT_human/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,linear_residual,0,batch,celltype,11990,3346,3256,2000,2,9,0.6017019452811173,0.44184518373727405,0.23516940916215914,0.42623884606018353,0.9987393303945942,0.9335029659424965,0.9661211481685453,0.6421917669035282,0.6697247706422018,0.8398665554628857,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,scGPT_human,/bigdata2/hyt/projects/scbenchmark/save_pretrain/scGPT_human/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,linear_residual,1,batch,celltype,11990,3346,3256,2000,2,9,0.6017981797939178,0.44187569337189503,0.23516940916215914,0.426281094109324,0.9987393303945942,0.9335029659424965,0.9661211481685453,0.6422171157330125,0.6697247706422018,0.8381984987489575,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,scGPT_human,/bigdata2/hyt/projects/scbenchmark/save_pretrain/scGPT_human/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,linear_residual,2,batch,celltype,11990,3346,3256,2000,2,9,0.6012912904260681,0.4414213397885738,0.23516940916215914,0.42596067979226704,0.9987393303945942,0.9335029659424965,0.9661211481685453,0.6420248671427784,0.6697247706422018,0.8387545176536002,OK,
