train_dataset,test_dataset,protocol,embedding,clf,n,mean_auroc,std_auroc,mean_auprc,std_auprc,mean_f1,std_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_precision_at_k,std_precision_at_k,mean_recall_at_k,std_recall_at_k,mean_calibration_brier,std_calibration_brier
mDC,mHSC-L,strict,cl_scratch_v5,lr,5,0.48120999999999997,0.017322314764488023,0.36277919999999997,0.01245222141467135,0.348914,0.029129862773449516,0.48715780000000003,0.019403739262317463,0.362,0.01363818169698585,0.3913516,0.014743886280082325,0.3886276,0.01643313312305357
mDC,mHSC-L,strict,cl_scratch_v5,mlp,5,0.5164844000000001,0.021710345382789296,0.4093078,0.018752876572942088,0.2323126,0.0333518013582475,0.5097994,0.006625880518089682,0.385,0.020976176963403037,0.416216,0.022677011205183104,0.2913214,0.01861781084445752
mDC,mHSC-L,strict,cl_v6_fair,lr,5,0.48564599999999997,0.011490623638427984,0.365846,0.010916056888822075,0.348523,0.02826178658188473,0.481796,0.01771072137435403,0.355,0.02302172886644268,0.383784,0.02488826983138844,0.3907994,0.012076880219659383
mDC,mHSC-L,strict,cl_v6_fair,mlp,5,0.4996932,0.008580605652283524,0.3942816,0.009184098836576195,0.2339746,0.0278891294277896,0.492624,0.006512437178199881,0.383,0.00509901951359279,0.414054,0.005512628447483099,0.3092294,0.014989743634899176
mDC,mHSC-L,strict,minus,lr,5,0.452136,0.015745651615604858,0.3510844,0.018673376915812525,0.3685644,0.027206386210594007,0.482973,0.017488086756417907,0.344,0.011575836902790213,0.3718918,0.012514412673393819,0.4145968,0.009360537877707678
mDC,mHSC-L,strict,minus,mlp,5,0.48328340000000003,0.04421705348663569,0.4064444,0.03937324127170634,0.2721346,0.03822058721474594,0.4970356,0.030216787808104304,0.35500000000000004,0.04147288270665545,0.383784,0.044835465457603994,0.2967706,0.02617572937360105
mDC,mHSC-L,strict,scGPT_human,lr,5,0.4361306,0.006846371143898054,0.3414784,0.006269976287036493,0.277923,0.021507467289292807,0.47129899999999997,0.014326086820901236,0.333,0.011224972160321813,0.36,0.012135263952629954,0.3922886,0.0057506517404551614
mDC,mHSC-L,strict,scGPT_human,mlp,5,0.4927392,0.04302841182009861,0.39669540000000003,0.022465971135029968,0.2110154,0.02711613261953113,0.5110288000000001,0.010999912879655013,0.373,0.02925747767665559,0.4032432,0.03162980795009668,0.3028238,0.021937737334556628
mDC,mHSC-L,strict,scconcept,lr,5,0.4709174,0.009489355333214154,0.3541162,0.010834298378759932,0.3306906,0.03910770019113883,0.4822492,0.016457117723343895,0.355,0.013038404810405309,0.3837838,0.014095666048825072,0.3892316,0.0027464850700486335
mDC,mHSC-L,strict,scconcept,mlp,5,0.49069759999999996,0.023614864002149138,0.400388,0.018919641201671878,0.28762719999999997,0.03139111663767314,0.505353,0.013396956325971966,0.37,0.02509980079602227,0.4,0.02713475718704702,0.3064072,0.017412592367594206
mDC,mHSC-L,strict,scconcept_encoded,lr,5,0.469857,0.009846550604145595,0.3376512,0.004840014603283756,0.3891562,0.023050573428008255,0.4788056,0.01613884227074545,0.34199999999999997,0.010770329614268994,0.3697296,0.011643729069331695,0.4536568,0.00836339360307763
mDC,mHSC-L,strict,scconcept_encoded,mlp,5,0.524851,0.015076464134537657,0.4070376,0.009673788329294797,0.342759,0.020636768380732484,0.5142546,0.015285901970116124,0.396,0.018275666882497068,0.4281082,0.019757298179660106,0.3207604,0.01754148420858395
mDC,mHSC-L,strict,v4_bias_rec_best,lr,5,0.4239164,0.018455160542243998,0.3300298,0.007797080515167205,0.24899580000000002,0.028220389589089668,0.43566699999999997,0.015744960641424294,0.304,0.026532998322843195,0.3286486,0.02868430438131628,0.42291259999999997,0.013379636850079295
mDC,mHSC-L,strict,v4_bias_rec_best,mlp,5,0.4586784,0.02210018088251768,0.355513,0.01352392931067002,0.1705694,0.03853194184880902,0.485693,0.009800152733503698,0.324,0.030561413579872243,0.3502704,0.03303912619667779,0.3050704,0.007537653496944516
mDC,mHSC-L,strict,v4_plain_best,lr,5,0.4468944,0.015309725805513307,0.3387634,0.012817039371087227,0.31888679999999997,0.0334615341572977,0.44959,0.014478494949406862,0.316,0.013564659966250548,0.34162180000000003,0.014664370540872168,0.424917,0.00779966809550252
mDC,mHSC-L,strict,v4_plain_best,mlp,5,0.4574334,0.026560980521057587,0.35736439999999997,0.017316475445078305,0.2056938,0.02102487275966254,0.4753618,0.01600117198707645,0.345,0.01816590212458494,0.372973,0.019638716404083035,0.3176254,0.026530378976561946
mDC,mHSC-L,strict,v4_type_pe_best,lr,5,0.4710164,0.015888053431430807,0.3583184,0.009770319740929652,0.3252714,0.03174804338286063,0.4790062,0.01564450521301329,0.35,0.02529822128134704,0.3783784,0.027349432685889487,0.390967,0.011741371998195096
mDC,mHSC-L,strict,v4_type_pe_best,mlp,5,0.4834576,0.014512232724153766,0.3804586,0.005883784312838126,0.2292006,0.03823879694551072,0.4930428,0.008016652653071618,0.357,0.010770329614269,0.385946,0.011643561946414853,0.3008862,0.016354262458454057
mDC,mHSC-L,topology_matched,baseline,lr,5,0.3797686,0.02156780365823094,0.27591119999999997,0.008925936755321539,0.218393,0.03227552330791865,0.4170048,0.023098943104826238,0.340541,0.0,1.0,0.0,0.4256588,0.01577515027376919
mDC,mHSC-L,topology_matched,baseline,mlp,5,0.3973978,0.05082018962341641,0.3032062,0.029527449984040284,0.160137,0.02370328975479986,0.4454592,0.01650100409550885,0.340541,0.0,1.0,0.0,0.313095,0.031209780050490583
mDC,mHSC-L,topology_matched,cl_scratch_v5,lr,5,0.5420952,0.036470273217512374,0.4942356,0.031136074528430854,0.4372494,0.049120257497696405,0.5462794,0.03095840401312702,0.43,0.0,0.988506,0.0,0.3555668,0.022303325656950822
mDC,mHSC-L,topology_matched,cl_scratch_v5,mlp,5,0.580369,0.027401214359951288,0.5270778,0.02280327417192539,0.267631,0.04183570048654619,0.5317606,0.015681076348261318,0.434,0.0020000000000000018,0.9977012,0.004597600000000002,0.29584,0.017393612942686754
mDC,mHSC-L,topology_matched,cl_v6_fair,lr,5,0.5649854,0.030196473731878015,0.4217346,0.02167383258770815,0.408155,0.04697962208873118,0.5393166,0.030728256394400254,0.351515,0.0,1.0,0.0,0.3391858,0.02446750424869689
mDC,mHSC-L,topology_matched,cl_v6_fair,mlp,5,0.5920402,0.014504449902012813,0.4625484,0.006460604386587995,0.303585,0.042962733493110056,0.538882,0.018680919260036434,0.351515,0.0,1.0,0.0,0.2638008,0.012806393831207913
mDC,mHSC-L,topology_matched,minus,lr,5,0.4163134,0.018558001967884367,0.40203880000000003,0.01713446892553136,0.357178,0.039725496477703084,0.4585036,0.011803508369972042,0.443182,0.0,1.0,0.0,0.4594886,0.0035234808130597305
mDC,mHSC-L,topology_matched,minus,mlp,5,0.47691,0.06936538452282953,0.4696912,0.059660864450324536,0.2425628,0.04634104017132115,0.5075618,0.03102410303876648,0.443182,0.0,1.0,0.0,0.3259694,0.03293263021138763
mDC,mHSC-L,topology_matched,scGPT_human,lr,5,0.4244182,0.019318237056211923,0.3573368,0.01868749756816038,0.2835152,0.03423016735220557,0.4712934,0.03019414170066769,0.370787,0.0,1.0,0.0,0.3980346,0.02110224576295138
mDC,mHSC-L,topology_matched,scGPT_human,mlp,5,0.4467532,0.028853992163303848,0.3973806,0.02308708251468773,0.2000898,0.01681780449880424,0.5095236,0.008744038920315937,0.370787,0.0,1.0,0.0,0.3084288,0.013212925283978572
mDC,mHSC-L,topology_matched,scconcept,lr,5,0.4840308,0.01528390025353478,0.3961906,0.012833801176580525,0.3213618,0.043576306311572575,0.4780404,0.015418465430774877,0.41573,0.0,1.0,0.0,0.3955662,0.004788824465356804
mDC,mHSC-L,topology_matched,scconcept,mlp,5,0.4868894,0.02601961103168149,0.4284914,0.02321621259034298,0.2641388,0.04379245683630915,0.5001818,0.033588930434891806,0.41573,0.0,1.0,0.0,0.3261718,0.020480672824885422
mDC,mHSC-L,topology_matched,scconcept_encoded,lr,5,0.4572428,0.005978811099206936,0.2897468,0.005156759114017245,0.3199702,0.019136953377170567,0.4602624,0.012988801709164709,0.327044,0.0,1.0,0.0,0.45361260000000003,0.014114852087074815
mDC,mHSC-L,topology_matched,scconcept_encoded,mlp,5,0.4707584,0.017904813616455215,0.3144812,0.016673429753952838,0.2119766,0.054993560592491185,0.4633356,0.02915237685404057,0.327044,0.0,1.0,0.0,0.3289656,0.01747072075902995
mDC,mHSC-L,topology_matched,v4_bias_rec_best,lr,5,0.4186686,0.01484147865409642,0.37660520000000003,0.00793236661785119,0.214436,0.0346985146252689,0.4310102,0.014336485544232936,0.421,0.0037416573867739447,0.9355551999999999,0.00831471104488904,0.44436359999999997,0.009515544978612641
mDC,mHSC-L,topology_matched,v4_bias_rec_best,mlp,5,0.4447662,0.014770320218600539,0.3869468,0.004113540295171547,0.1050754,0.03407921510598505,0.466391,0.013525307952131808,0.421,0.006633249580710806,0.9355553999999999,0.014740678581395075,0.3440414,0.012223627769201745
mDC,mHSC-L,topology_matched,v4_plain_best,lr,5,0.4576504,0.031653266211245874,0.4002302,0.02054339548760137,0.3401222,0.04520076880496614,0.465901,0.019989203055649815,0.426136,0.0,1.0,0.0,0.4175814,0.016399296809314717
mDC,mHSC-L,topology_matched,v4_plain_best,mlp,5,0.4774388,0.011878340833634971,0.4281768,0.01911684350932445,0.2027984,0.06933645216651917,0.4970562,0.018023495225954384,0.426136,0.0,1.0,0.0,0.3277126,0.018347282704531485
mDC,mHSC-L,topology_matched,v4_type_pe_best,lr,5,0.4536216,0.024060721299246194,0.3561748,0.011082304514856105,0.3321892,0.0405769546733118,0.4652312,0.020018552848795054,0.356725,0.0,1.0,0.0,0.4094426,0.020961555024377375
mDC,mHSC-L,topology_matched,v4_type_pe_best,mlp,5,0.4725782,0.02891423298930823,0.3702692,0.011866508928914181,0.2219324,0.04015566085423076,0.4926974,0.012825032750055637,0.356725,0.0,1.0,0.0,0.2909036,0.01645231402083003
mESC,hESC,coverage_matched,baseline,mlp,5,0.5499896,0.04209189418213441,0.5792266,0.03794218569666221,0.6714962,0.0003743999999999748,0.5004238,0.0008475999999999927,0.555,0.03794733192202055,0.4605808,0.0314913312605231,0.25215360000000003,0.0012235534479539466
mESC,hESC,coverage_matched,cl_scratch_v5,mlp,5,0.49026179999999997,0.05348705593468384,0.502123,0.03521968919794723,0.0036528,0.004473748066219196,0.5009176,0.001123825893988931,0.47000000000000003,0.050199601592044535,0.4311926,0.04605494718529161,0.25166720000000004,0.000978473791166629
mESC,hESC,coverage_matched,cl_v6_fair,mlp,5,0.543932,0.06780322771078083,0.5685022,0.052088704366301905,0.0,0.0,0.5,0.0,0.53,0.056302753041037,0.4529914,0.04812221168067818,0.25389439999999996,0.004726609888704588
mESC,hESC,coverage_matched,minus,mlp,5,0.540901,0.0444360840848966,0.5476610000000001,0.05264266886091546,0.0,0.0,0.5,0.0,0.532,0.04057092555020159,0.4045628,0.03085239942305947,0.2506754,0.0005588611992257153
mESC,hESC,coverage_matched,scGPT_human,mlp,5,0.500929,0.030736554419778395,0.525243,0.029731037533190795,0.674157,0.0,0.5,0.0,0.52,0.027386127875258293,0.495238,0.02608192743644533,0.25289,0.001820745671421465
mESC,hESC,coverage_matched,scconcept,mlp,5,0.5018452,0.022913327688487316,0.5740942,0.015795151881511003,0.5822608,0.09736527563849444,0.493577,0.015282200993312444,0.5579999999999999,0.020396078054371106,0.45,0.016448554428885227,0.299814,0.029577290240994022
mESC,hESC,coverage_matched,scconcept_encoded,mlp,5,0.5717296000000001,0.06936967364086413,0.5708692,0.07164551272871175,0.157275,0.21065301726488517,0.4869814,0.021631572995045912,0.539,0.05868560300448484,0.5500001999999999,0.05988319144935412,0.31817,0.03507388031569932
mESC,hESC,coverage_matched,v4_bias_rec_best,mlp,5,0.5307518,0.06327270639509583,0.563948,0.05578765866031663,0.6774914,0.004495199999999988,0.502033,0.0040659999999999915,0.548,0.07173562573784381,0.4215384,0.0551814354347547,0.2521478,0.002427538456955938
mESC,hESC,coverage_matched,v4_plain_best,mlp,5,0.4890796,0.04191786916626368,0.4449434,0.034543843090194815,0.612174,0.0,0.5,0.0,0.428,0.04489988864128729,0.4863638,0.051022612067200164,0.2648468,0.0052592207179391
mESC,hESC,coverage_matched,v4_type_pe_best,lr,5,0.5402102,0.002563735196934348,0.6345228,0.007762804709639411,0.6250756000000001,0.012930363886604263,0.5415528,0.010383635556008299,0.612,0.00509901951359279,0.3825,0.003186887195995503,0.3916172,0.0400005570781208
mESC,hESC,coverage_matched,v4_type_pe_best,mlp,5,0.4749132,0.008041116673696511,0.5762076,0.0043887867389519174,0.7161084,0.034496868980242276,0.5051286,0.010604306532725259,0.58,0.02932575659723035,0.3625,0.01832859787326897,0.4256354,0.02205745469994216
mESC,hESC,native,baseline,lr,5,0.4951454,0.0009407806545630016,0.5073872,0.0011042714159118765,0.5225508,0.029578111666568572,0.4926182,0.01810739907772509,0.511,0.01593737745050924,0.1539154,0.004800702015330669,0.4725398,0.003873486873606272
mESC,hESC,native,baseline,mlp,5,0.4872316,0.01612258477540125,0.4970998,0.006370621206758391,0.5230262,0.06450636808067868,0.4733162,0.011518558302148745,0.505,0.033166247903553984,0.1521082,0.009990065833616914,0.4937798,0.01124096210117264
mESC,hESC,native,cl_scratch_v5,lr,5,0.4837982,0.00038259817040859365,0.492646,0.0006301926689513122,0.4907182,0.030845989479347236,0.4928982,0.01805242688837156,0.48,0.017606816861659002,0.14457799999999998,0.005303173238731697,0.4836804,0.002160809440927171
mESC,hESC,native,cl_scratch_v5,mlp,5,0.473144,0.030229483363101,0.49355140000000003,0.01746904477754867,0.4558306,0.20549477354774742,0.459569,0.02069249858281982,0.528,0.05104899607240088,0.159036,0.015376365071108318,0.5081822,0.016762297532259714
mESC,hESC,native,cl_v6_fair,lr,5,0.5193018,0.0018161123753776657,0.5401304,0.0011976013694046791,0.5035444,0.033207471440023846,0.5084386,0.01914090531401271,0.546,0.0073484692283495405,0.1644582,0.002213358931578882,0.4148082,0.005965872891706632
mESC,hESC,native,cl_v6_fair,mlp,5,0.483631,0.017752330517427844,0.497974,0.008804843780556246,0.5451798,0.04774935584654521,0.4711492,0.01583718582829665,0.514,0.026907248094147445,0.1548194,0.008104931402547469,0.4929268,0.015993261848666125
mESC,hESC,native,minus,lr,5,0.4708846,0.0015796347172685294,0.4931978,0.002951825699461259,0.4846126,0.03298774152681569,0.4806168,0.020099400283590568,0.495,0.03271085446759227,0.1490962,0.00985281507793585,0.48559979999999997,0.00331744699430149
