dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
mHSC-L500,scconcept,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7168226254895511,0.7987802014908585
mHSC-L500,scconcept_encoded,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.704614985998585,0.7847769596669147
mHSC-L500,scconcept_encoded,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7024674379901741,0.7797261758386792
mHSC-L500,cl_scratch_v5,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7262000857026121,0.8008342677896634
mHSC-L500,cl_scratch_v5,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7874525396872851,0.8576131496532635
mHSC-L500,random_256,in_domain,mHSC-L500,mHSC-L500,lr,500/500,0.6978385004035995,0.7965498280618197
mHSC-L500,random_256,in_domain,mHSC-L500,mHSC-L500,mlp,500/500,0.7119694659531426,0.8035265790590865
hHep500->mHSC-E500,minus,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.5506438510068273,0.6846444807823333
hHep500->mHSC-E500,baseline,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.5438812548612911,0.697287568049853
hHep500->mHSC-E500,scGPT_human,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.5331648085731571,0.6850031112712989
hHep500->mHSC-E500,v4_bias_rec_best,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.4975153400743238,0.6320184814171763
hHep500->mHSC-E500,v4_plain_best,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.4504796473943478,0.5982210269704515
hHep500->mHSC-E500,v4_type_pe_best,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.5504710050989543,0.7117058792642025
hHep500->mHSC-E500,scconcept,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.5593293578774522,0.6707785662811103
hHep500->mHSC-E500,scconcept_encoded,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.5046884452510587,0.6272735980888344
hHep500->mHSC-E500,cl_scratch_v5,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.4513222711952294,0.6203603528878547
hHep500->mHSC-GM500,minus,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.5401892744479496,0.6243476658567035
hHep500->mHSC-GM500,baseline,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.4844794952681388,0.6097750319641748
hHep500->mHSC-GM500,scGPT_human,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.5873343848580441,0.7005568204577228
hHep500->mHSC-GM500,v4_bias_rec_best,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.5294637223974764,0.6466426416951396
hHep500->mHSC-GM500,v4_plain_best,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.4631861198738171,0.5817746083065739
hHep500->mHSC-GM500,v4_type_pe_best,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.5060410094637224,0.6290567726000158
hHep500->mHSC-GM500,scconcept,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.5450788643533122,0.6380831316759809
hHep500->mHSC-GM500,scconcept_encoded,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.5278548895899053,0.6269039534508689
hHep500->mHSC-GM500,cl_scratch_v5,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.508769716088328,0.6229467941163076
hHep500->mHSC-L500,minus,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.5036672745572862,0.6115066234040984
hHep500->mHSC-L500,baseline,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.4711899708013194,0.616721822721746
hHep500->mHSC-L500,scGPT_human,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.5214804627941044,0.65313099580864
hHep500->mHSC-L500,v4_bias_rec_best,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.4859039134204311,0.6041129443171906
hHep500->mHSC-L500,v4_plain_best,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.5104786391222458,0.6256902341634658
hHep500->mHSC-L500,v4_type_pe_best,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.4932085662750256,0.6242033618491851
hHep500->mHSC-L500,scconcept,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.5184160961463721,0.6223173172464489
hHep500->mHSC-L500,scconcept_encoded,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.5047485226264861,0.6177927652975892
hHep500->mHSC-L500,cl_scratch_v5,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.5322132201261622,0.6634408679697439
mHSC-E500->hHep500,minus,transfer,mHSC-E500,hHep500,lr,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,minus,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,baseline,transfer,mHSC-E500,hHep500,lr,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,baseline,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,scGPT_human,transfer,mHSC-E500,hHep500,lr,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,scGPT_human,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,v4_bias_rec_best,transfer,mHSC-E500,hHep500,lr,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,v4_bias_rec_best,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,v4_plain_best,transfer,mHSC-E500,hHep500,lr,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,v4_plain_best,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,v4_type_pe_best,transfer,mHSC-E500,hHep500,lr,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,v4_type_pe_best,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,1.0,1.0
mHSC-E500->hHep500,scconcept,transfer,mHSC-E500,hHep500,lr,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,scconcept,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,scconcept_encoded,transfer,mHSC-E500,hHep500,lr,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,scconcept_encoded,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,cl_scratch_v5,transfer,mHSC-E500,hHep500,lr,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,cl_scratch_v5,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,0.0,0.5
mHSC-E500->mHSC-GM500,minus,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.6231230283911672,0.6946660302421382
mHSC-E500->mHSC-GM500,minus,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.6446372239747635,0.7480938863324451
mHSC-E500->mHSC-GM500,baseline,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.6586277602523659,0.7517662300943884
mHSC-E500->mHSC-GM500,baseline,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.7016088328075709,0.8069133201621161
mHSC-E500->mHSC-GM500,scGPT_human,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.639069400630915,0.7277503141943762
mHSC-E500->mHSC-GM500,scGPT_human,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.6934384858044165,0.7951409764042541
mHSC-E500->mHSC-GM500,v4_bias_rec_best,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.5645899053627761,0.6544817365225302
mHSC-E500->mHSC-GM500,v4_bias_rec_best,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.6564668769716089,0.7838450867546584
mHSC-E500->mHSC-GM500,v4_plain_best,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.6375867507886437,0.7146268623049871
mHSC-E500->mHSC-GM500,v4_plain_best,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.6363406940063092,0.7619484468032449
mHSC-E500->mHSC-GM500,v4_type_pe_best,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.615173501577287,0.6997663292412865
mHSC-E500->mHSC-GM500,v4_type_pe_best,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.6909305993690853,0.7897647905352349
mHSC-E500->mHSC-GM500,scconcept,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.5718611987381703,0.6474960261162441
mHSC-E500->mHSC-GM500,scconcept,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.6372870662460568,0.7373889831700944
