gene,mse,mae,dataset,embedding,model,split_mode,prompt_ratio,seed
RP4-612B18.3,0.001896285335533321,0.03199572488665581,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RPL24P7,0.0019792611710727215,0.03353273868560791,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
MIR21,0.0018800552934408188,0.032560788094997406,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
LLNLF-158E9.1,0.043706052005290985,0.11141005903482437,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
BNIP3P17,0.002221279311925173,0.02758156508207321,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
CTC-412M14.6,0.006614623125642538,0.037263572216033936,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RP11-638L3.2,0.09079097956418991,0.18761053681373596,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
Y_RNA_ENSG00000252021,0.3102307617664337,0.392701119184494,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
YWHAQP6,0.013069264590740204,0.05072885379195213,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
AC004985.12,0.007323873229324818,0.04234840348362923,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
MTCO2P34,0.009336021728813648,0.03920217975974083,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RP5-1166A24.1,0.08966203033924103,0.16995498538017273,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
PPIAP62,0.0014424172695726156,0.029540924355387688,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
PAXBP1P1,0.010134113021194935,0.04575703293085098,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RNU2-65P,0.4041840136051178,0.455838680267334,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
LRRC37A6P,0.06470244377851486,0.1346902698278427,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
CTD-3091F23.1,0.0018960393499583006,0.03224603086709976,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
CTD-3222D19.8,0.012776685878634453,0.04463433846831322,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
HMGB1P6,0.0056472159922122955,0.03341909870505333,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
AC097467.2,0.04682465270161629,0.10670675337314606,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
MSMO1,0.2212119698524475,0.3568236827850342,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RPS3P2,0.10015855729579926,0.19285543262958527,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
GPR149,0.03782972693443298,0.09164303541183472,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RP1-302D9.1,0.014620237052440643,0.04710932821035385,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
OR2AG1,0.0023345572408288717,0.0376596599817276,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
ARHGAP26-AS1,0.0023063498083502054,0.030127285048365593,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RP5-832C2.5,0.002786013064906001,0.034221697598695755,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
TMEM163,0.002124036895111203,0.03110833652317524,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
MIR7515HG,0.05999030917882919,0.10195841640233994,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
MRGPRX4,0.001382728572934866,0.027677137404680252,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
PRR12,0.002061464823782444,0.0339493565261364,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RNU6-1316P,0.009496059268712997,0.0442807599902153,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
AMY1A,0.0022170748561620712,0.02887214906513691,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
ARIH2OS,0.002660412108525634,0.030212892219424248,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RP11-700H6.2,0.001547055784612894,0.030808843672275543,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
ABCC1,0.007169893942773342,0.03954479843378067,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
ADGRG7,0.002304577035829425,0.02922956459224224,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
ACSM6,0.005829980596899986,0.03961031138896942,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
CR1,0.13184420764446259,0.24887996912002563,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
CRCT1,0.02949065901339054,0.07274840772151947,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
SMG7,0.0014122046995908022,0.02839641273021698,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
